Serial Number,Credit Card Name,Credit Card Image,Flight Benefit
65,6E Rewards - IndiGo HDFC Bank Credit Card,,5% 6E rewards points on booking through IndiGo app/ website.
66,Emirates Skywards Rubyx Credit Card,,Users can earn up to 1.5 Skywards Miles per INR 100 for all categories.These Skyward Miles can be used for the purposes of booking Emirates tickets.
70,IRCTC RBL Bank RuPay Credit Card,,"Users will get 2 reward points per INR 200 spent on booking flights, hotels and cruises from the IRCTC website or app with a cashback rate of 0.25%"
71,PNB EMT RuPay Platinum Credit Card,"https://static.wixstatic.com/media/45c85e_540ad1c606e54027873cd81f669732c2~mv2.png/v1/fill/w_75,h_114,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Screenshot%202024-11-13%20144116.png","1,000 off on domestic flight bookings and INR 5,000 off on international flight bookings"
74,InterMiles Voyage Amex Credit Card,"https://static.wixstatic.com/media/257766_ad98660b54704119b11f22cc79793131~mv2.png/v1/fill/w_345,h_230,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/intermiles-card_Voyage_amex_front.png","Users will get 4 InterMiles on spending INR 100 through the credit card.  The value of 1 InterMiles is not exact it depends on the flight you are trying to book it varies from INR 0.17 to INR 0.50. Effective cashback rate: varies from 0.68% to 2%.
"
75,HSBC Taj Credit Card,https://www.hsbc.co.in/content/dam/hsbc/in/images/account/16-9/15990-india-hsbc-taj-card-face-vertical-2000x1125.jpg/jcr:content/renditions/cq5dam.web.1680.1000.jpeg,Users can get up to 5% off on Emirates flights originating in India.
76,Marriott Bonvoy HDFC Credit Card,,"4 Marriott Bonvoy points per Rs. 150 spent on travel, dining & entertainment. Cashback rate: 2%.
"
80,Axis Bank Vistara Credit Card,,"Users will earn 2 points for every INR 200 spent. Points can be redeemed for air tickets. The estimated value as per MyRupaya is INR 1.25 for each point. Effective cashback rate: 2.5%.
"
85,Standard Chartered EaseMyTrip Credit Card,,"10% flat off on domestic & international flight bookings (capped at INR 1000 and INR 5000 respectively). 
"
89,Ola Money SBI Card,"https://static.wixstatic.com/media/f836e8_7e53787fcf6d4b75a1ebda0f0a460271~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/OLA%20Money%20SBI%20Card.webp",5% cashback on flight tickets booked through Cleartrip
