Offer Title,,Image,,,Link,Eligible Cards,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Icon,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Paisabazaar Duet Card,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank MoneyTap,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,Mo Cash,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Platinum Advantage MasterCard,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Platinum Plus Visa,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Platinum ValuePlus MasterCard,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Novio RuPay,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Platinum ValuePlus Visa,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Patanjali Vishisht RuPay Card,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Platinum Shopgain Visa,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Platinum Bonus MasterCard,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Platinum ShopSmart MasterCard,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Binge Visa,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,TVS Credit RBL Bank Gold Mastercard Card,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,IndianOil RBL Bank MasterCard,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank MyFirst Visa,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Platinum ShopDaily MasterCard,
