Offer Title,,,,Image,Link,Eligible Cards,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis KWIK,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,LIC Axis Bank Platinum,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Horizon Mastercard,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Shoppers Stop,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Horizon Visa,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Kotak IndiGo 6E Rewards XL,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Myntra Kotak,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Indian Oil Kotak,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Kotak IndiGo 6E Rewards,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,PVR INOX Kotak,
